Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,genres,steam_total_reviews,steam_positive_review_ratio,steam_score,transformed_user_score
Gears of War 4,XOne,2016.0,Shooter,Microsoft Game Studios,1.45,0.59,0.0,0.21,2.26,84.0,98.0,6.3,848.0,M,,,,,6.3
Forza Motorsport 5,XOne,2013.0,Racing,Microsoft Game Studios,1.26,0.79,0.01,0.2,2.25,79.0,76.0,5.9,1096.0,E,,,,,5.9
Onimusha 2: Samurais Destiny,PS2,2002.0,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25,84.0,31.0,9.0,52.0,M,,,,,9.0
Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25,79.0,31.0,5.5,56.0,E,,,,,5.5
Paper Mario: The Thousand-Year Door,GC,2004.0,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,87.0,55.0,9.4,311.0,E,,,,,9.4
LEGO Marvel Super Heroes,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.25,0.81,0.0,0.19,2.25,80.0,37.0,7.6,129.0,E10+,,,,,7.6
God of War: Ascension,PS3,2013.0,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80.0,89.0,7.5,916.0,M,,,,,7.5
Guitar Hero III: Legends of Rock,PS3,2007.0,Misc,Activision,1.4,0.53,0.02,0.3,2.24,83.0,45.0,7.8,52.0,T,,,,,7.8
Sonic Advance,GBA,2001.0,Platform,Sega,1.19,0.71,0.22,0.13,2.24,87.0,22.0,8.1,48.0,E,,,,,8.1
Assassins Creed IV: Black Flag,XOne,2013.0,Action,Ubisoft,1.48,0.55,0.0,0.21,2.24,,,7.4,356.0,M,,,,,7.4
Super Monkey Ball: Banana Blitz,Wii,2006.0,Misc,Sega,1.05,0.91,0.04,0.24,2.24,74.0,53.0,5.7,72.0,E,,,,,5.7
Call of Duty 3,Wii,2006.0,Shooter,Activision,1.17,0.84,0.0,0.23,2.24,69.0,42.0,6.7,61.0,T,,,,,6.7
New Super Luigi U,WiiU,2013.0,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77.0,59.0,7.9,288.0,E,,,,,7.9
Dissidia: Final Fantasy,PSP,2008.0,Fighting,Square Enix,0.51,0.5,0.91,0.31,2.23,79.0,61.0,8.0,139.0,T,,,,,8.0
Spyro: Season of Ice,GBA,2001.0,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23,74.0,16.0,8.0,13.0,E,,,,,8.0
Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.72,0.1,0.35,2.23,91.0,25.0,8.2,859.0,M,Action;RPG,155616.0,0.929178233600658,9.3,8.9
Prince of Persia: The Sands of Time,PS2,2003.0,Action,Ubisoft,0.88,1.03,0.0,0.31,2.22,92.0,44.0,8.8,206.0,T,,,,,8.8
Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,0.65,0.4,1.05,0.11,2.22,84.0,70.0,8.6,220.0,T,,,,,8.6
Star Wars: The Force Unleashed,PS3,2008.0,Action,LucasArts,1.01,0.85,0.0,0.35,2.21,71.0,47.0,6.6,235.0,T,,,,,6.6
Guitar Hero II,X360,2007.0,Misc,Activision,2.01,0.02,0.0,0.17,2.2,92.0,55.0,8.1,220.0,T,,,,,8.1
Rock Band 2,X360,2008.0,Misc,Electronic Arts,1.78,0.24,0.0,0.18,2.2,92.0,69.0,8.3,156.0,T,,,,,8.3
Need for Speed: Hot Pursuit,X360,2010.0,Racing,Electronic Arts,1.03,0.96,0.0,0.21,2.2,88.0,73.0,7.0,207.0,E10+,Racing,14180.0,0.8043018335684062,8.0,7.6
LEGO Indiana Jones: The Original Adventures,DS,2008.0,Action,Activision,1.4,0.59,0.0,0.2,2.2,80.0,15.0,7.9,16.0,E,,,,,7.9
Madden NFL 15,PS4,2014.0,Sports,Electronic Arts,1.55,0.25,0.0,0.4,2.2,81.0,37.0,6.1,209.0,E,,,,,6.1
BioShock 2,X360,2010.0,Shooter,Take-Two Interactive,1.45,0.54,0.02,0.19,2.2,88.0,93.0,8.2,575.0,M,,,,,8.2
Star Wars: Knights of the Old Republic,X,2003.0,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19,94.0,72.0,9.2,317.0,T,,,,,9.2
Pro Evolution Soccer 2012,PS3,2011.0,Action,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,80.0,41.0,6.6,132.0,E,,,,,6.6
Saints Row,X360,2006.0,Action,THQ,1.17,0.77,0.02,0.22,2.18,81.0,74.0,7.5,214.0,M,,,,,7.5
FIFA 15,XOne,2014.0,Sports,Electronic Arts,0.61,1.42,0.0,0.16,2.18,82.0,33.0,5.4,347.0,E,,,,,5.4
ATV Offroad Fury 2,PS2,2002.0,Racing,THQ,1.92,0.2,0.0,0.06,2.18,82.0,26.0,8.9,28.0,E,,,,,8.9
DriveClu,PS4,2014.0,Racing,Sony Computer Entertainment,0.36,1.47,0.02,0.33,2.17,71.0,85.0,6.1,1579.0,E,,,,,6.1
Final Fantasy XIII,X360,2010.0,Role-Playing,Square Enix,1.28,0.67,0.01,0.21,2.17,82.0,54.0,6.3,543.0,T,,,,,6.3
Skylanders SWAP Force,Wii,2013.0,Platform,Activision,1.22,0.76,0.0,0.19,2.17,,,6.6,5.0,E10+,,,,,6.6
Scribblenauts,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,1.67,0.3,0.02,0.18,2.16,79.0,72.0,7.6,110.0,E10+,,,,,7.6
The Sims: House Party,PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,74.0,17.0,7.9,30.0,T,,,,,7.9
Sonic Unleashed,Wii,2008.0,Platform,Sega,1.26,0.67,0.02,0.21,2.16,66.0,30.0,7.3,137.0,E10+,,,,,7.3
Pokemon Ranger,DS,2006.0,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,69.0,21.0,7.6,50.0,E,,,,,7.6
Hitman: Absolution,PS3,2012.0,Action,Square Enix,0.59,1.05,0.07,0.44,2.14,83.0,30.0,7.5,512.0,M,,,,,7.5
Dying Light,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.0,0.68,0.12,0.35,2.14,74.0,58.0,7.9,1300.0,M,Action;RPG,84368.0,0.926796889816044,9.3,8.8
Mahjong,NES,1983.0,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14,,,,,,Casual,45.0,0.7555555555555555,7.6,7.6
Mahjong,NES,1983.0,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14,,,,,,Casual;Indie;Simulation,10.0,0.6,6.0,6.0
Call of Duty: Roads to Victory,PSP,2007.0,Shooter,Activision,0.52,1.02,0.0,0.59,2.13,64.0,45.0,7.5,30.0,T,,,,,7.5
Your Shape featuring Jenny McCarthy,Wii,2009.0,Sports,Ubisoft,1.49,0.46,0.0,0.18,2.13,62.0,5.0,5.2,54.0,E,,,,,5.2
Dance Dance Revolution Extreme,PS2,2004.0,Simulation,Konami Digital Entertainment,1.04,0.81,0.0,0.27,2.13,77.0,26.0,9.0,20.0,E,,,,,9.0
Final Fantasy Tactics Advance,GBA,2003.0,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13,87.0,44.0,7.8,213.0,E,,,,,7.8
Project Gotham Racing,X,2001.0,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12,85.0,35.0,8.2,28.0,E,,,,,8.2
NBA 2K12,PS3,2011.0,Sports,Take-Two Interactive,1.62,0.26,0.05,0.18,2.11,90.0,38.0,6.7,127.0,E,,,,,6.7
NBA 2K14,PS3,2013.0,Sports,Take-Two Interactive,1.44,0.31,0.04,0.32,2.11,84.0,26.0,4.9,145.0,E,,,,,4.9
Battlefield: Hardline,PS4,2015.0,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.11,73.0,46.0,5.0,850.0,M,,,,,5.0
Need for Speed: Hot Pursuit 2,PS2,2002.0,Racing,Electronic Arts,1.68,0.31,0.02,0.09,2.11,89.0,31.0,8.5,93.0,E,,,,,8.5
Dynasty Warriors 4,PS2,2003.0,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,78.0,24.0,9.3,201.0,T,,,,,9.3
Mortal Kombat,X360,2011.0,Fighting,Warner Bros. Interactive Entertainment,1.64,0.31,0.0,0.16,2.11,86.0,66.0,8.3,384.0,M,,,,,8.3
Parasite Eve,PS,1998.0,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,81.0,17.0,8.9,89.0,M,,,,,8.9
Tetris DS,DS,2006.0,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.1,84.0,56.0,8.7,44.0,E,,,,,8.7
NBA 2K11,X360,2010.0,Action,Take-Two Interactive,1.85,0.12,0.01,0.13,2.1,89.0,50.0,8.1,100.0,E,,,,,8.1
Borderlands,PS3,2009.0,Shooter,Take-Two Interactive,1.21,0.6,0.0,0.29,2.1,83.0,58.0,7.9,429.0,M,,,,,7.9
Devil May Cry 3: Dantes Awakening,PS2,2005.0,Action,Capcom,0.99,0.63,0.29,0.19,2.09,84.0,60.0,9.0,213.0,M,,,,,9.0
Dead Rising,X360,2006.0,Action,Capcom,1.16,0.64,0.08,0.2,2.08,85.0,82.0,7.6,521.0,M,,,,,7.6
World of Warcraft: Cataclysm,PC,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,90.0,53.0,5.5,956.0,T,,,,,5.5
Tetris Worlds,PS2,2002.0,Puzzle,THQ,1.11,0.71,0.0,0.27,2.08,44.0,7.0,6.2,11.0,E,,,,,6.2
Final Fantasy III,DS,2006.0,Role-Playing,Square Enix,0.89,0.04,1.07,0.09,2.08,77.0,45.0,7.1,137.0,E10+,RPG,1279.0,0.8045347928068803,8.0,7.6
Sim Theme Park,PC,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08,,,8.0,15.0,E,,,,,8.0
Madden NFL 15,X360,2014.0,Sports,Electronic Arts,1.8,0.06,0.0,0.22,2.08,,,5.5,29.0,E,,,,,5.5
Mario Party 5,GC,2003.0,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,69.0,33.0,8.2,59.0,E,,,,,8.2
Rock Band,Wii,2008.0,Misc,MTV Games,1.33,0.56,0.0,0.2,2.08,80.0,21.0,6.3,37.0,T,,,,,6.3
Portal 2,X360,2011.0,Shooter,Valve Software,1.41,0.49,0.01,0.17,2.08,95.0,66.0,8.5,1000.0,E10+,Action;Adventure,140111.0,0.9865035578933845,9.9,9.4
Mario Sports Mix,Wii,2010.0,Sports,Nintendo,0.88,0.44,0.63,0.12,2.08,64.0,54.0,7.1,34.0,E,,,,,7.1
Need for Speed: Most Wanted 5-1-0,PSP,2005.0,Racing,Electronic Arts,1.77,0.12,0.02,0.17,2.07,72.0,21.0,7.8,54.0,E10+,,,,,7.8
The Sims 2: Pets,DS,2006.0,Simulation,Electronic Arts,0.92,0.93,0.0,0.22,2.07,49.0,5.0,5.0,25.0,E,,,,,5.0
Dance Dance Revolution: Hottest Party,Wii,2007.0,Simulation,Konami Digital Entertainment,1.35,0.52,0.0,0.19,2.07,73.0,16.0,7.1,27.0,E10+,,,,,7.1
Mafia III,PS4,2016.0,Action,Take-Two Interactive,0.48,1.24,0.03,0.32,2.07,68.0,66.0,5.1,1194.0,M,Sexual Content;Nudity;Violent;Gore;Action;Adventure,27016.0,0.4947438554930412,4.9,5.0
UFC 2009 Undisputed,X360,2009.0,Fighting,THQ,1.48,0.39,0.0,0.19,2.06,83.0,68.0,7.9,51.0,T,,,,,7.9
Metal Gear Solid: Peace Walker,PSP,2010.0,Action,Konami Digital Entertainment,0.46,0.41,0.96,0.24,2.06,89.0,66.0,8.9,445.0,T,,,,,8.9
Kirbys Epic Yarn,Wii,2010.0,Platform,Nintendo,1.42,0.09,0.45,0.1,2.06,86.0,70.0,8.6,206.0,E,,,,,8.6
Wipeout: The Game,Wii,2009.0,Misc,Mindscape,1.94,0.0,0.0,0.12,2.06,,,5.3,18.0,E10+,,,,,5.3
Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,Square Enix,0.63,0.41,0.75,0.26,2.06,82.0,62.0,8.5,210.0,E10+,,,,,8.5
R4: Ridge Racer Type 4,PS,1998.0,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06,88.0,18.0,9.2,21.0,,,,,,9.2
Tom Clancys Splinter Cell: Conviction,X360,2010.0,Action,Ubisoft,1.2,0.62,0.04,0.19,2.06,85.0,90.0,7.7,589.0,M,,,,,7.7
SoulCalibur II,PS2,2003.0,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06,92.0,41.0,8.8,120.0,T,,,,,8.8
Need for Speed: ProStreet,X360,2007.0,Racing,Electronic Arts,1.04,0.79,0.01,0.21,2.05,72.0,42.0,7.1,78.0,E10+,,,,,7.1
Sonic Mega Collection,GC,2002.0,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,75.0,26.0,8.8,41.0,E,,,,,8.8
Need For Speed: Undercover,PS3,2008.0,Racing,Electronic Arts,0.63,1.0,0.05,0.38,2.05,59.0,40.0,5.9,72.0,T,,,,,5.9
Call of Duty 2,X360,2005.0,Shooter,Activision,1.84,0.04,0.01,0.16,2.05,89.0,65.0,8.1,310.0,T,,,,,8.1
Mario Party: Island Tour,3DS,2013.0,Misc,Nintendo,0.64,0.73,0.55,0.12,2.05,57.0,47.0,6.2,118.0,E,,,,,6.2
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006.0,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04,72.0,38.0,9.0,34.0,T,,,,,9.0
Peter Jacksons King Kong: The Official Game of the Movie,PS2,2005.0,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04,82.0,41.0,8.2,69.0,T,,,,,8.2
Watch Dogs 2,PS4,2016.0,Action,Ubisoft,0.56,1.1,0.07,0.31,2.04,82.0,94.0,7.9,723.0,M,,,,,7.9
Need for Speed: ProStreet,PS3,2007.0,Racing,Electronic Arts,0.73,0.91,0.04,0.36,2.04,73.0,26.0,6.0,43.0,E10+,,,,,6.0
Donkey Kong Country,GBA,2003.0,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,78.0,26.0,8.9,53.0,E,,,,,8.9
Dance Central 2,X360,2011.0,Misc,Microsoft Game Studios,1.45,0.41,0.01,0.16,2.04,86.0,56.0,8.2,63.0,T,,,,,8.2
Battlefield 4,XOne,2013.0,Shooter,Electronic Arts,1.27,0.58,0.0,0.19,2.03,81.0,5.0,6.6,482.0,M,,,,,6.6
Carnival Games,DS,2008.0,Misc,Take-Two Interactive,1.22,0.63,0.0,0.19,2.03,48.0,11.0,3.3,4.0,E,,,,,3.3
Fire Emblem: Awakening,3DS,2012.0,Role-Playing,Nintendo,0.9,0.45,0.54,0.13,2.03,92.0,72.0,9.1,1139.0,T,,,,,9.1
NBA Live 2004,PS2,2003.0,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,86.0,19.0,7.7,41.0,E,,,,,7.7
Rayman Raving Rabbids: TV Party,Wii,2008.0,Misc,Ubisoft,0.72,1.08,0.0,0.23,2.03,73.0,24.0,7.7,29.0,E10+,,,,,7.7
Pok\xc3\xa9mon Mystery Dungeon: Blue Rescue Team,DS,2005.0,Role-Playing,Nintendo,1.15,0.04,0.83,0.0,2.02,62.0,34.0,8.1,99.0,E,,,,,8.1
Just Dance 2015,Wii,2014.0,Misc,Ubisoft,1.0,0.85,0.0,0.17,2.02,,,8.4,5.0,E10+,,,,,8.4
Dark Souls,PS3,2011.0,Role-Playing,Namco Bandai Games,0.75,0.51,0.54,0.22,2.02,89.0,54.0,8.7,1410.0,M,,,,,8.7
Just Dance 3,X360,2011.0,Misc,Ubisoft,1.47,0.39,0.0,0.16,2.02,70.0,34.0,7.7,17.0,E10+,,,,,7.7
Dragon Age: Inquisition,PS4,2014.0,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89.0,43.0,7.4,2005.0,M,,,,,7.4
Need for Speed: The Run,PS3,2011.0,Action,Electronic Arts,0.58,1.04,0.03,0.36,2.01,64.0,48.0,6.4,183.0,T,,,,,6.4
Mortal Kombat vs. DC Universe,PS3,2008.0,Fighting,Midway Games,1.49,0.28,0.0,0.23,2.01,76.0,44.0,7.0,108.0,T,,,,,7.0
Dead Space,PS3,2008.0,Action,Electronic Arts,1.05,0.66,0.0,0.29,2.0,88.0,67.0,8.8,553.0,M,Action,10185.0,0.8970054000981836,9.0,8.9
TouchMaster,DS,2007.0,Puzzle,Midway Games,0.48,1.27,0.0,0.24,2.0,71.0,19.0,5.7,9.0,E10+,,,,,5.7
Skate 3,PS3,2010.0,Sports,Electronic Arts,0.79,0.89,0.0,0.32,1.99,80.0,46.0,7.6,82.0,T,,,,,7.6
Tenchu: Stealth Assassins,PS,1997.0,Action,Activision,0.95,0.64,0.27,0.13,1.99,87.0,14.0,8.8,46.0,M,,,,,8.8
Harry Potter and the Chamber of Secrets,GBA,2002.0,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99,76.0,11.0,7.9,15.0,E,,,,,7.9
Kingdom Hearts 358/2 Days,DS,2009.0,Role-Playing,Square Enix,1.06,0.26,0.53,0.13,1.98,75.0,53.0,7.8,164.0,E10+,,,,,7.8
Need for Speed Rivals,PS4,2013.0,Racing,Electronic Arts,0.73,0.92,0.03,0.3,1.98,80.0,53.0,6.2,675.0,E10+,,,,,6.2
Harry Potter and the Chamber of Secrets,PS,2002.0,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98,,,8.5,34.0,E,,,,,8.5
Spyro: Enter the Dragonfly,PS2,2002.0,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97,56.0,20.0,4.1,95.0,E,,,,,4.1
Devil May Cry 2,PS2,2003.0,Action,Capcom,0.71,0.58,0.51,0.17,1.97,68.0,40.0,6.6,167.0,M,,,,,6.6
Hot Shots Golf: Open Tee,PSP,2004.0,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,81.0,57.0,8.7,34.0,E10+,,,,,8.7
Resident Evil 6,X360,2012.0,Shooter,Capcom,1.12,0.6,0.07,0.16,1.96,67.0,71.0,5.0,1409.0,M,,,,,5.0
Forza Horizon,X360,2012.0,Racing,Microsoft Game Studios,0.82,0.93,0.04,0.18,1.96,85.0,83.0,8.4,434.0,T,,,,,8.4
Tom Clancys Rainbow Six: Vegas,X360,2006.0,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.95,88.0,69.0,8.3,225.0,M,,,,,8.3
Crash Nitro Kart,PS2,2003.0,Racing,Vivendi Games,0.74,1.01,0.0,0.2,1.95,69.0,24.0,7.7,61.0,E,,,,,7.7
Grand Theft Auto: San Andreas,X,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,93.0,58.0,8.7,119.0,AO,Action,30120.0,0.8923306772908367,8.9,8.8
Star Wars: Dark Forces,PC,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95,,,7.7,29.0,T,,,,,7.7
NBA Street Vol. 2,PS2,2003.0,Sports,Electronic Arts,1.69,0.2,0.0,0.06,1.95,90.0,31.0,8.8,70.0,E,,,,,8.8
Def Jam Vendetta,PS2,2003.0,Fighting,Electronic Arts,0.95,0.74,0.0,0.25,1.94,80.0,33.0,8.9,42.0,T,,,,,8.9
Kirby Squeak Squad,DS,2006.0,Platform,Nintendo,0.78,0.02,1.05,0.08,1.94,71.0,29.0,8.0,43.0,E,,,,,8.0
Burnout Paradise,PS3,2008.0,Racing,Electronic Arts,1.01,0.62,0.02,0.29,1.94,87.0,55.0,7.7,457.0,E10+,,,,,7.7
Mortal Kombat vs. DC Universe,X360,2008.0,Fighting,Midway Games,1.54,0.23,0.0,0.16,1.94,72.0,61.0,7.5,87.0,T,,,,,7.5
The Sims 3,PS3,2010.0,Simulation,Electronic Arts,0.73,0.89,0.02,0.3,1.94,78.0,39.0,6.4,55.0,T,,,,,6.4
Scooby Doo and the Cyber Chase,PS,2001.0,Adventure,THQ,0.59,1.23,0.0,0.13,1.94,,,7.4,10.0,E,,,,,7.4
Destiny: The Taken King,PS4,2015.0,Shooter,Activision,0.78,0.79,0.05,0.31,1.94,86.0,81.0,6.0,1083.0,T,,,,,6.0
FIFA Soccer 09,X360,2008.0,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94,87.0,51.0,8.0,106.0,E,,,,,8.0
Dragon Ball Z: Budokai 3,PS2,2004.0,Fighting,Atari,1.09,0.15,0.65,0.04,1.94,77.0,32.0,8.9,140.0,T,,,,,8.9
LittleBigPlanet 3,PS4,2014.0,Platform,Sony Computer Entertainment,0.68,0.93,0.01,0.31,1.94,79.0,78.0,7.1,507.0,E,,,,,7.1
Call of Duty: World at War,Wii,2008.0,Shooter,Activision,1.17,0.58,0.0,0.18,1.94,83.0,19.0,7.6,78.0,M,Action,21078.0,0.9296422810513332,9.3,8.8
Tom Clancys Ghost Recon,PS2,2002.0,Shooter,Ubisoft,1.42,0.4,0.0,0.12,1.94,63.0,18.0,8.3,22.0,M,,,,,8.3
BioShock Infinite,X360,2013.0,Shooter,Take-Two Interactive,1.22,0.54,0.02,0.16,1.93,93.0,33.0,8.5,1652.0,M,Action,83288.0,0.9538228796465277,9.5,9.1
X-Men Legends,PS2,2004.0,Role-Playing,Activision,1.0,0.72,0.0,0.21,1.93,79.0,48.0,8.5,69.0,T,,,,,8.5
Destiny,X360,2014.0,Shooter,Activision,1.32,0.43,0.0,0.19,1.93,,,4.7,504.0,T,,,,,4.7
Forza Motorsport 6,XOne,2015.0,Racing,Microsoft Game Studios,0.84,0.91,0.03,0.16,1.93,87.0,85.0,7.9,865.0,E,,,,,7.9
Red Faction,PS2,2001.0,Shooter,THQ,0.76,0.96,0.0,0.2,1.92,88.0,25.0,8.0,70.0,M,Action,1478.0,0.8978349120433018,9.0,8.6
The Sims: Makin Magic,PC,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,80.0,22.0,8.6,31.0,T,,,,,8.6
MX Unleashed,PS2,2004.0,Racing,THQ,0.94,0.73,0.0,0.25,1.92,80.0,18.0,9.2,46.0,E,,,,,9.2
PaRappa The Rapper,PS,1996.0,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,92.0,15.0,7.4,48.0,K-A,,,,,7.4
Guitar Hero: World Tour,PS3,2008.0,Misc,Activision,1.1,0.55,0.0,0.27,1.92,84.0,43.0,7.5,80.0,T,,,,,7.5
The Elder Scrolls V: Skyrim,PS4,2016.0,Role-Playing,Bethesda Softworks,0.74,0.82,0.05,0.31,1.92,,,,,,RPG,252254.0,0.940730374939545,9.4,9.4
Diablo III,PS3,2013.0,Role-Playing,Activision,0.72,0.75,0.16,0.29,1.91,86.0,43.0,6.4,557.0,M,,,,,6.4
Need for Speed: Shift,X360,2009.0,Racing,Electronic Arts,0.73,0.96,0.01,0.22,1.91,83.0,75.0,6.5,134.0,E,Racing,1516.0,0.7262532981530343,7.3,7.0
Star Wars Rogue Leader: Rogue Squadron II,GC,2001.0,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9,90.0,45.0,8.6,80.0,T,,,,,8.6
Just Cause 3,PS4,2015.0,Action,Square Enix,0.5,1.03,0.08,0.29,1.9,73.0,42.0,6.5,413.0,M,,,,,6.5
Mario Super Sluggers,Wii,2008.0,Sports,Nintendo,1.48,0.0,0.29,0.12,1.89,69.0,31.0,7.7,59.0,E,,,,,7.7
Monopoly,Wii,2008.0,Misc,Electronic Arts,0.86,0.83,0.0,0.2,1.89,70.0,11.0,7.8,17.0,E,,,,,7.8
Madden NFL 09,PS3,2008.0,Sports,Electronic Arts,1.56,0.14,0.0,0.18,1.88,85.0,38.0,4.4,132.0,E,,,,,4.4
Batman: Arkham Origins,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.15,0.56,0.0,0.17,1.88,74.0,46.0,7.5,686.0,T,,,,,7.5
Game Party 2,Wii,2008.0,Misc,Midway Games,1.28,0.43,0.0,0.17,1.88,29.0,7.0,4.6,7.0,E,,,,,4.6
Mortal Kombat: Deception,PS2,2004.0,Fighting,Midway Games,0.92,0.72,0.0,0.24,1.88,81.0,43.0,8.5,90.0,M,,,,,8.5
Toy Story Mania!,Wii,2009.0,Misc,Disney Interactive Studios,1.04,0.66,0.0,0.18,1.88,49.0,15.0,6.6,13.0,E,,,,,6.6
Star Fox Adventures,GC,2002.0,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87,82.0,39.0,7.7,148.0,T,,,,,7.7
Madden NFL 25,PS3,2013.0,Sports,Electronic Arts,1.6,0.03,0.0,0.24,1.87,76.0,19.0,4.1,91.0,E,,,,,4.1
Dynasty Warriors 3,PS2,2001.0,Action,THQ,0.53,0.16,1.07,0.1,1.87,78.0,17.0,9.1,90.0,T,,,,,9.1
LEGO Marvel Super Heroes,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,0.77,0.79,0.01,0.3,1.87,82.0,22.0,7.8,77.0,E10+,,,,,7.8
Madden NFL 06,X,2005.0,Sports,Electronic Arts,1.75,0.03,0.0,0.08,1.86,86.0,39.0,6.7,41.0,E,,,,,6.7
Shrek 2,PS2,2004.0,Platform,Activision,1.12,0.69,0.03,0.02,1.86,71.0,32.0,8.5,27.0,E,,,,,8.5
The Legend of Dragoon,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,74.0,12.0,8.4,253.0,T,,,,,8.4
Turok 2: Seeds of Evil,N64,1997.0,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86,,,,,,Action;Adventure,1041.0,0.9442843419788665,9.4,9.4
Star Wars: The Force Unleashed,Wii,2008.0,Action,LucasArts,1.11,0.56,0.0,0.18,1.86,71.0,18.0,7.9,75.0,T,,,,,7.9
NBA Live 2002,PS2,2001.0,Sports,Electronic Arts,0.91,0.71,0.0,0.24,1.86,70.0,16.0,7.4,8.0,E,,,,,7.4
Chrono Cross,PS,1999.0,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,94.0,16.0,8.1,298.0,T,,,,,8.1
Jak 3,PS2,2004.0,Platform,Sony Computer Entertainment,1.33,0.49,0.0,0.03,1.85,84.0,55.0,8.6,249.0,T,,,,,8.6
Kingdom Hearts: Chain of Memories,GBA,2004.0,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,76.0,37.0,7.9,86.0,E,,,,,7.9
Pinball,NES,1984.0,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,,,,,,Casual;Indie;Simulation,4.0,0.25,2.5,2.5
Max Payne 3,PS3,2012.0,Shooter,Take-Two Interactive,0.59,0.89,0.06,0.3,1.85,87.0,31.0,7.8,792.0,M,Action,25955.0,0.8314775573107301,8.3,8.1
Phineas and Fer,DS,2009.0,Action,Disney Interactive Studios,1.33,0.37,0.0,0.15,1.84,80.0,4.0,4.5,8.0,E,,,,,4.5
NCAA Football 06,PS2,2005.0,Sports,Electronic Arts,1.53,0.05,0.0,0.25,1.84,87.0,25.0,8.5,36.0,E,,,,,8.5
Kirby: Triple Deluxe,3DS,2014.0,Platform,Nintendo,0.61,0.34,0.79,0.09,1.84,80.0,68.0,8.9,207.0,E,,,,,8.9
Sonic Classic Collection,DS,2010.0,Platform,Sega,0.93,0.73,0.0,0.17,1.83,70.0,24.0,7.5,28.0,E,,,,,7.5
Rayman Raving Rabbids 2,Wii,2007.0,Misc,Ubisoft,0.82,0.82,0.0,0.2,1.83,67.0,25.0,8.3,66.0,E10+,,,,,8.3
