Name,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,transformed_user_score,Sales_SubIndex,Critic_SubIndex,Player_SubIndex,Game_Success_Index
The Legend of Zelda: Twilight Princess,Wii,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0
The Last of Us,PS3,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0
Super Mario 3D World,WiiU,Platform,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0
Super Mario Galaxy 2,Wii,Platform,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0
Grand Theft Auto: Vice City,PS2,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9333333333333332,1.0,1.0,0.9833333333333335,1.0,0.9944444444444445
Mario Kart 8,WiiU,Racing,1.0,0.9999999999999999,1.0,1.0,0.9772727272727273,1.0,1.0,1.0,0.9829545454545454,1.0,0.9943181818181818
Super Smash Bros. Brawl,Wii,Fighting,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.9795918367346939,1.0,1.0000000000000002,0.9795918367346939,0.9931972789115647
Super Mario Galaxy,Wii,Platform,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.9795918367346939,1.0,1.0000000000000002,0.9795918367346939,0.9931972789115647
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.9387755102040816,1.0,1.0000000000000002,0.9387755102040816,0.9795918367346937
The Legend of Zelda: A Link Between Worlds,3DS,Action,1.0,0.9999999999999999,1.0,0.7931034482758622,1.0000000000000002,1.0,0.9795918367346939,0.9482758620689655,1.0000000000000002,0.9795918367346939,0.9759558996012198
Animal Crossing: New Leaf,3DS,Simulation,1.0,0.9999999999999999,1.0,1.0,0.9772727272727273,1.0,0.9387755102040816,1.0,0.9829545454545454,0.9387755102040816,0.9739100185528757
Mario Kart DS,DS,Racing,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9666666666666667,0.9183673469387754,1.0,0.9916666666666669,0.9183673469387754,0.9700113378684808
Uncharted 2: Among Thieves,PS3,Action,1.0,0.9999999999999999,0.7777777777777777,1.0,1.0000000000000002,1.0,0.9591836734693879,0.9444444444444444,1.0000000000000002,0.9591836734693879,0.967876039304611
The Witcher 3: Wild Hunt,PS4,Role-Playing,0.7588652482269505,0.9999999999999999,0.8518518518518517,1.0,1.0000000000000002,1.0,1.0,0.9026792750197005,1.0000000000000002,1.0,0.9675597583399003
New Super Mario Bros.,DS,Platform,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9833333333333333,0.8979591836734693,1.0,0.9958333333333336,0.8979591836734693,0.9645975056689343
Red Dead Redemption,PS3,Action,1.0,0.9999999999999999,0.6296296296296297,1.0,1.0000000000000002,1.0,0.9795918367346939,0.9074074074074074,1.0000000000000002,0.9795918367346939,0.9623330813807005
Final Fantasy X,PS2,Role-Playing,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.7833333333333333,0.9387755102040816,1.0,0.9458333333333335,0.9387755102040816,0.9615362811791384
Donkey Kong Country Returns,Wii,Platform,1.0,0.9999999999999999,1.0,1.0,0.9545454545454546,1.0,0.9183673469387754,1.0,0.9659090909090909,0.9183673469387754,0.9614254792826221
Super Mario 3D Land,3DS,Platform,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.8775510204081634,1.0,1.0000000000000002,0.8775510204081634,0.9591836734693878
Grand Theft Auto III,PS2,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.8333333333333334,0.9183673469387754,1.0,0.9583333333333336,0.9183673469387754,0.9589002267573696
Metal Gear Solid V: The Phantom Pain,PS4,Action,0.7801418439716313,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.9183673469387754,0.9450354609929078,1.0000000000000002,0.9183673469387754,0.9544676026438945
Assassins Creed II,PS3,Action,1.0,0.9999999999999999,0.7777777777777777,1.0,1.0000000000000002,1.0,0.9183673469387754,0.9444444444444444,1.0000000000000002,0.9183673469387754,0.95427059712774
New Super Mario Bros. Wii,Wii,Platform,1.0,0.9999999999999999,1.0,1.0,0.9545454545454546,1.0,0.8775510204081634,1.0,0.9659090909090909,0.8775510204081634,0.9478200371057515
The Elder Scrolls V: Skyrim,X360,Role-Playing,1.0,0.9999999999999999,0.37037037037037035,1.0,1.0000000000000002,1.0,1.0,0.8425925925925926,1.0000000000000002,1.0,0.9475308641975309
The Legend of Zelda: The Wind Waker,GC,Action,1.0,0.9999999999999999,1.0,0.4482758620689656,1.0000000000000002,1.0,0.9795918367346939,0.8620689655172414,1.0000000000000002,0.9795918367346939,0.9472202674173117
Grand Theft Auto: San Andreas,PS2,Action,1.0,0.43956043956043955,1.0,1.0,1.0000000000000002,1.0,0.9795918367346939,0.8598901098901099,1.0000000000000002,0.9795918367346939,0.946493982208268
Metal Gear Solid 2: Sons of Liberty,PS2,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.6,0.9387755102040816,1.0,0.9000000000000002,0.9387755102040816,0.9462585034013605
Red Dead Redemption,X360,Action,1.0,0.9999999999999999,0.33333333333333326,1.0,1.0000000000000002,1.0,1.0,0.8333333333333333,1.0000000000000002,1.0,0.9444444444444445
Bloodborne,PS4,Action,0.7659574468085107,0.9230769230769229,0.9629629629629629,1.0,1.0000000000000002,1.0,0.9183673469387754,0.9129993332120991,1.0000000000000002,0.9183673469387754,0.9437888933836249
Animal Crossing: Wild World,DS,Simulation,1.0,0.9999999999999999,1.0,1.0,0.9318181818181819,0.85,0.9183673469387754,1.0,0.9113636363636365,0.9183673469387754,0.943243661100804
Gran Turismo 3: A-Spec,PS2,Racing,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.8,0.8775510204081634,1.0,0.9500000000000002,0.8775510204081634,0.9425170068027212
Luigis Mansion: Dark Moon,3DS,Action,1.0,0.9999999999999999,1.0,1.0,0.9318181818181819,1.0,0.8775510204081634,1.0,0.9488636363636365,0.8775510204081634,0.9421382189239332
Super Smash Bros. Melee,GC,Fighting,1.0,0.9999999999999999,1.0,0.7586206896551725,1.0000000000000002,0.5333333333333333,1.0,0.9396551724137931,0.8833333333333335,1.0,0.9409961685823754
Gran Turismo 2,PS,Racing,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.2833333333333333,1.0,1.0,0.8208333333333335,1.0,0.9402777777777779
Tekken 5,PS2,Fighting,0.6595744680851064,0.9999999999999999,1.0,1.0,0.9772727272727273,0.9333333333333332,0.9387755102040816,0.9148936170212766,0.9662878787878787,0.9387755102040816,0.9399856686710789
Professor Layton and the Curious Village,DS,Puzzle,0.8581560283687943,0.9999999999999999,1.0,1.0,0.9090909090909092,1.0,0.9183673469387754,0.9645390070921985,0.9318181818181819,0.9183673469387754,0.9382415119497186
